Value type,Value ,Random seed
Train accuracy,0.9435955592694280,1
Test accuracy,0.949044138318808,1
Run time,0.2753470818201700,1
Train accuracy,0.9517270203301790,2
Test accuracy,0.9505583257251210,2
Run time,0.2186843236287440,2
Train accuracy,0.9426759214935380,3
Test accuracy,0.9457098937954170,3
Run time,0.27858705520629900,3
Train accuracy,0.9476744186046510,4
Test accuracy,0.9460606904231630,4
Run time,0.2790823181470240,4
Train accuracy,0.946903987471389,5
Test accuracy,0.9466694192127720,5
Run time,0.2666245142618820,5
Train accuracy,0.9497614117223370,6
Test accuracy,0.9463059313215400,6
Run time,0.27299155791600500,6
Train accuracy,0.95152131029948,7
Test accuracy,0.9491525423728810,7
Run time,0.34635945955912300,7
Train accuracy,0.9509429458104560,8
Test accuracy,0.9472019122609670,8
Run time,0.42593650420506800,8
Train accuracy,0.9469889610195350,23
Test accuracy,0.9466070305402190,23
Run time,0.37410482168197600,23
Train accuracy,0.944354983002326,42
Test accuracy,0.9449373327700320,42
Run time,0.21884073416392000,42
