Value Type,Value,Seed
Train accuracy,0.8663005849349410,1
Test accuracy,0.8715912285633960,1
Run time,0.2823486804962160,1
Train accuracy,0.8693315819327100,2
Test accuracy,0.8689514713111880,2
Run time,0.3097984115282690,2
Train accuracy,0.8723970799425560,3
Test accuracy,0.8690609278926780,3
Run time,0.22229882876078300,3
Train accuracy,0.8681371373771280,4
Test accuracy,0.8677616926503340,4
Run time,0.30245205958684300,4
Train accuracy,0.8682688832670760,5
Test accuracy,0.8664327002477290,5
Run time,0.33710925579071000,5
Train accuracy,0.869781819273131,6
Test accuracy,0.8687478321193200,6
Run time,0.2818092664082850,6
Train accuracy,0.8678641879371150,7
Test accuracy,0.866998179016669,7
Run time,0.2206340511639910,7
Train accuracy,0.8706731916925280,8
Test accuracy,0.8676181102362210,8
Run time,0.2569371382395430,8
Train accuracy,0.8683997965716340,23
Test accuracy,0.8703613110629670,23
Run time,0.32398324410120600,23
Train accuracy,0.8672690403769310,42
Test accuracy,0.8714265596394870,42
Run time,0.2729416211446130,42
